x1,x2
0.44249296,4.6280594
0.43012348,4.5613914
0.41834906,4.495246
0.4071396,4.4296594
0.39646286,4.3646445
0.386291,4.3002257
0.37659776,4.236424
0.36735678,4.173247
0.3585457,4.1107173
0.3501419,4.0488467
0.34212452,3.9876454
0.3344739,3.9271228
0.3271715,3.8672876
0.32019994,3.808147
0.31354275,3.749706
0.30718455,3.6919699
0.3011107,3.6349418
0.29530776,3.5786262
0.28976226,3.5230207
0.28446266,3.4681325
0.2793966,3.4139528
0.27455395,3.360489
0.26992425,3.307737
0.26549774,3.2556949
0.26126543,3.2043617
0.25721845,3.153732
0.25334883,3.1038046
0.2496488,3.0545752
0.2461111,3.00604
0.24272873,2.9581935
0.2394952,2.9110317
0.23640437,2.8645492
0.23345038,2.8187413
0.23062764,2.7736015
0.22793083,2.7291226
0.2253553,2.685304
0.22289598,2.6421337
0.22054857,2.5996077
0.21830876,2.557719
0.21617258,2.5164614
0.21413621,2.4758284
0.21219598,2.4358118
0.2103485,2.3964062
0.20859052,2.3576038
0.20691893,2.3193984
0.20533076,2.2817822
0.20382325,2.244748
0.20239373,2.2082891
0.20103966,2.172398
0.19975872,2.1370692
0.1985485,2.102292
0.19740692,2.068062
0.1963319,2.0343714
0.19532147,2.0012121
0.1943738,1.9685792
0.1934871,1.9364636
0.19265966,1.9048591
0.19188993,1.8737586
0.19117633,1.8431545
0.19051743,1.8130406
0.18991184,1.7834094
0.18935826,1.7542547
0.18885545,1.725569
0.18840224,1.6973461
0.18799745,1.6695789
0.18764004,1.642261
0.18732898,1.6153855
0.18706332,1.5889469
0.18684214,1.5629374
0.18666454,1.5373515
0.18652971,1.5121822
0.18643685,1.4874239
0.18638523,1.4630698
0.18637414,1.4391127
0.18640289,1.4155512
0.18647088,1.3923743
0.18657747,1.3695778
0.18672213,1.3471559
0.1869043,1.3251029
0.18712346,1.3034128
0.18737915,1.2820807
0.18767093,1.2610999
0.18799835,1.2404659
0.18836105,1.2201728
0.18875864,1.2002152
0.18919075,1.1805879
0.18965706,1.1612859
0.19015731,1.142304
0.19069111,1.1236382
0.19125836,1.1052797
0.1918587,1.0872275
0.19249192,1.0694754
0.19315784,1.0520188
0.19385627,1.0348525
0.19458702,1.0179721
0.19534996,1.0013733
0.19614494,0.9850512
0.19697186,0.96900153
0.19783059,0.95321953
0.19872107,0.9377013
0.19964316,0.9224427
0.20059688,0.9074388
0.20158222,0.8926847
0.20259893,0.87817985
0.20364715,0.86391735
0.20472696,0.8498923
0.20583819,0.83610314
0.20698093,0.8225448
0.2081552,0.809214
0.20936103,0.796107
0.21059847,0.78321993
0.2118676,0.7705491
0.21316849,0.75809103
0.2145012,0.7458421
0.21586579,0.7337997
0.21726249,0.72195894
0.21869132,0.71031743
0.2201524,0.69887185
0.22164588,0.68761873
0.22317189,0.6765551
0.22473066,0.6656772
0.2263222,0.65498304
0.2279468,0.6444688
0.22960459,0.63413167
0.23129581,0.62396854
0.23302057,0.6139769
0.23477915,0.60415363
0.23657171,0.594496
0.23839852,0.58500123
0.2402598,0.57566655
0.24215578,0.56648934
0.24408671,0.5574669
0.24605288,0.5485967
0.24805447,0.5398763
0.25009182,0.53130305
0.2521652,0.5228746
0.25427482,0.5145887
0.2564212,0.50644207
0.2586044,0.49843353
0.26082486,0.49056014
0.26308286,0.4828198
0.26537883,0.47520992
0.2677128,0.4677293
0.27008548,0.4603747
0.2724971,0.4531444
0.2749479,0.4460364
0.27743825,0.43904895
0.27996886,0.43217894
0.28253978,0.42542538
0.28515145,0.41878614
0.28780434,0.4122592
0.29049882,0.40584257
0.29323533,0.39953452
0.29601425,0.39333326
0.29883605,0.38723692
0.30170107,0.38124385
0.30460998,0.37535205
0.3075632,0.36955976
0.31056094,0.36386576
0.31360385,0.3582681
0.31669244,0.35276514
0.3198271,0.34735546
0.3230084,0.3420374
0.32623678,0.3368094
0.3295129,0.33166984
0.33283707,0.32661745
0.33621,0.32165056
0.33963206,0.316768
0.34310412,0.31196782
0.34662643,0.30724907
0.3501996,0.3026104
0.35382447,0.29805002
0.35750094,0.2935675
0.36123034,0.28916067
0.36501297,0.28482854
0.36884952,0.28056985
0.3727404,0.27638352
0.3766866,0.272268
0.3806885,0.26822233
0.3847468,0.26424533
0.38886213,0.2603358
0.39303523,0.2564926
0.39726672,0.25271463
0.4015574,0.24900071
0.40590766,0.24535003
0.41031846,0.24176134
0.41479054,0.23823352
0.41932458,0.23476565
0.42392138,0.23135665
0.42858142,0.2280057
0.4333057,0.22471172
0.43809494,0.22147371
0.44294992,0.21829079
0.44787145,0.21516202
0.4528604,0.21208642
0.4579173,0.20906332
0.4630432,0.20609164
0.46823895,0.20317061
0.47350544,0.20029928
0.47884318,0.19747704
0.4842534,0.19470288
0.48973697,0.19197601
0.49529463,0.18929572
0.5009273,0.18666121
0.50663596,0.18407172
0.51242137,0.18152656
0.5182849,0.17902482
0.524227,0.17656597
0.5302491,0.17414914
0.53635156,0.17177387
0.54253596,0.16943924
0.5488032,0.16714464
0.5551538,0.16488957
0.56158996,0.16267301
0.56811154,0.16049469
0.5747202,0.15835379
0.5814163,0.15624994
0.5882019,0.15418223
0.59507746,0.15215023
0.60204434,0.15015334
0.60910356,0.14819098
0.6162567,0.1462625
0.62350434,0.14436747
0.63084793,0.14250533
0.6382886,0.1406755
0.64582765,0.1388775
0.6534662,0.13711078
0.66120553,0.13537487
0.66904664,0.13366932
0.6769914,0.1319935
0.6850405,0.1303471
0.6931955,0.12872957
0.70145786,0.12714043
0.7098285,0.12557931
0.7183092,0.12404569
0.7269015,0.12253912
0.73560584,0.12105931
0.7444245,0.11960572
0.753359,0.11817792
0.76241016,0.11677561
0.7715796,0.11539836
0.78086907,0.11404577
0.79027987,0.11271745
0.7998134,0.111413084
